cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
"ULTRASOUND - ANKLE, WRIST, ELBOW, SHOULDER, CHESTWALL (5 ORGANS)","Ultrasound - Ankle, Wrist, Elbow, Shoulder, Chestwall (5 Organs)",Imaging,02 PCC+
25-OH VITAMIN D,25-Oh Vitamin D,Uncategorized,02 PCC+
TOTAL BILIRUBIN (B1B2),Bilirubin,Uncategorized,02 PCC+
APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME) ;SO~HMRE,Partial Thromboplastin Time (PTT),Laboratory,01 Clinic+
CHLAMYDIA ANTIGEN TEST - MALE,Chlamydia Antigen Test - Male,Laboratory,01 Clinic+
"FINE NEEDLE ASPIRATION BIOPSY (FNAB) - SMEARS ONLY (BIOPSY - POLYP, STOMACH/SMALL BOWEL)","Fine Needle Aspiration Biopsy (Fnab) - Smears Only (Biopsy - Polyp, Stomach/Small Bowel",Uncategorized,03 Hospital Only
ULTRASOUND - PROSTATE,Ultrasound - Prostate,Imaging,02 PCC+
"TISSUE CD 68, MYELOPEROXIDASE (SEND OUT)","Tissue Cd 68, Myeloperoxidase",Uncategorized,02 PCC+
HBSAG RIA,HBsAg,Laboratory,01 Clinic+
FECAL IMMUNOCHEMISTRY ~ MCSS,Fecal Immunochemistry,Uncategorized,02 PCC+
X-RAY PELVIS AND HIPS (AP ONLY) W/CR FILM,X-Ray - Pelvis And Hips (Ap Only),Imaging,02 PCC+
CD4 COUNT (JBL),Cd4 Count (Jbl,Uncategorized,02 PCC+
CHEMO FEE 1 (MAXIMUM 2 HOURS),Chemo Fee 1 (Maximum 2 Hours,Uncategorized,02 PCC+
CYTOKERATIN,Cytokeratin,Uncategorized,02 PCC+
SONOMAMOGRAM,Sonomamogram,Uncategorized,02 PCC+
ULTRASOUND-INGUINAL SCROTAL BILATERAL,Ultrasound - Inguinal Scrotal Bilateral,Imaging,02 PCC+
XRAY - THORACULUMBAR SPINE SERIES,X-Ray - Thoraculumbar Spine Series,Imaging,02 PCC+
CHEM- POST RENAL PANEL,Chem- Post Renal Panel,Laboratory,01 Clinic+
RA FACTOR,Ra Factor,Uncategorized,02 PCC+
XRAY-KNEE APL BILATERAL,X-Ray - Knee Apl Bilateral,Imaging,02 PCC+
"CA 125, ABC","Ca 125, Abc",Uncategorized,02 PCC+
"PHI IHC, HER-2/NEU (C-ERB-B2)","Phi Ihc, Her-2/Neu (C-Erb-B2",Uncategorized,02 PCC+
(CREA) CREATININE,Creatinine,Laboratory,01 Clinic+
RUBELLA IGG (GERMAN MEASLES),Rubella Igg (German Measles,Laboratory,01 Clinic+
"XRAY - SHOULDER SCAPULAR,TRUE AP,NEUTRAL AP TRAUMA (BOTH)","X-Ray - Shoulder Scapular,True Ap,Neutral Ap Trauma (Both)",Imaging,02 PCC+
"BIOPSY POLYP, STOMACH/SMALL BOWEL","Biopsy Polyp, Stomach/Small Bowel",Uncategorized,03 Hospital Only
1ST 10 (FBS- SGPT) FASTING BLOOD SUGAR-SERUM GLUTAMIC-PYRUVIC TRANSAMINASE,SGPT/ALT,Laboratory,01 Clinic+
"CHEMISTRY 10 (FBS, BUN, CREATININE, BUA, LIPID PROFILE, SGPT, SGOT)",Lipid Profile,Laboratory,01 Clinic+
C4 COMPLEMENT,C4 Complement,Uncategorized,02 PCC+
OGTT 2 HOUR,Ogtt 2 Hour,Uncategorized,02 PCC+
ULTRASOUND-WHOLE ABDOMEN W/ PELVIS,Ultrasound - Whole Abdomen,Imaging,02 PCC+
THYROXINE (T4) EIA,Thyroxine (T4) Eia,Uncategorized,02 PCC+
STONE ANALYSIS (KIDNEY/ HI-PRE),Stone Analysis (Kidney/ Hi-Pre,Uncategorized,02 PCC+
XRAY LEFT ELBOW APL,X-Ray - Left Elbow Apl,Imaging,02 PCC+
TRANSVAGINAL/TRANSRECTAL~UZOB,Transvaginal/Transrectal,Laboratory,01 Clinic+
ULTRASOUND-BREAST MAMMOGRAM (RIGHT),Ultrasound - Breast Mammogram (Right),Imaging,02 PCC+
BPS,Bps,Uncategorized,02 PCC+
EEG AWAKE AND ASLEEP,Eeg Awake And Asleep,Uncategorized,02 PCC+
SERUM ELECTROLYTES.,Serum Electrolytes.,Laboratory,01 Clinic+
X-RAY-CHEST AP/LAT,X-Ray - Chest Ap/Lat,Imaging,02 PCC+
CREATININE KINASE MM (CK-MM),Creatinine,Laboratory,01 Clinic+
CT SCAN-HYPOALLERGENIC DYE (HEAD AND CHEST),CT Scan - Hypoallergenic Dye (Head And Chest),Imaging,03 Hospital Only
"FIT TRIO ( H.PYLORI TEST, FECALYSIS W/ OCCULT BLOOD AND TRANSFERRIN )",Fecalysis,Laboratory,01 Clinic+
CREATININE (URINE) - SEND-OUT,Creatinine,Laboratory,01 Clinic+
"ULTRASOUND, GALL BLADDER, PANCREAS AND KIDNEYS","Ultrasound - , Gall Bladder, Pancreas And Kidneys",Imaging,02 PCC+
SODIUM & POTASSIUM (CHEMISTRY),Potassium (K),Laboratory,01 Clinic+
"ULTRASOUND-KIDNEY, URETER, BLADDER (KUB),PROSTATE WITH POST VOID","Ultrasound - Kidney, Ureter, Bladder (Kub),Prostate",Imaging,02 PCC+
XRAY-CERVICAL SPINE WITH SERIES,X-Ray - Cervical Spine,Imaging,02 PCC+
ULTRASOUND-DOPPLER (GENERAL),Ultrasound - Doppler (General),Imaging,02 PCC+
(CEA)CARCINOEMBRYONIC ANTIGEN (ECLIA),Cea)Carcinoembryonic Antigen (Eclia,Laboratory,01 Clinic+
SHAVING OF EPIDERMAL OR DERMAL LESIONS - LESION DIAMETER OVER 2.0 CM,Shaving Of Epidermal Or Dermal Lesions - Lesion Diameter Over 2.0 Cm,Uncategorized,02 PCC+
BIOMETRY LENSTAR (PER EYE),Biometry Lenstar (Per Eye,Ophthalmology,02 PCC+
CANCER ANTIGEN -199,Cancer Antigen -199,Laboratory,01 Clinic+
COVER AND UNCOVER TEST,Cover And Uncover Test,Laboratory,01 Clinic+
CT SCAN - BONE DENSITOMETRY,CT Scan - Bone Densitometry,Imaging,03 Hospital Only
FUNDUS PHOTO-ONE EYE,Fundus Photo-One Eye,Ophthalmology,02 PCC+
LEPTOSPIRAL AGGLUTINATION/LEPTOSPIRAL MICROSCOPIC/LEPTOSPIROSIS MICROSCOPIC AGGLUTINATION (MAT) TEST,Leptospiral Agglutination/Leptospiral Microscopic/Leptospirosis Microscopic Agglutination (Mat) Test,Laboratory,01 Clinic+
PFT POST BRONCHODILATOR + CONSUMABLE,Pft Post Bronchodilator + Consumable,Uncategorized,02 PCC+
PHOSPHOTYROSYL PHOSPHATASE ACTIVATOR (PTPA),Phosphotyrosyl Phosphatase Activator (Ptpa,Uncategorized,02 PCC+
PHYSICAL THERAPY WITH INFRARED RADIATION,Physical Therapy Infrared Radiation,Physical Therapy,02 PCC+
PREGNANCY TEST,Pregnancy Test,Laboratory,01 Clinic+
PHOSPHOROUS SERUM,Phosphorous Serum,Laboratory,01 Clinic+
VID EEG ROUTINE - ADULT,Vid Eeg - Adult,Uncategorized,02 PCC+
IMMUNE ANTIBODY TITER,Immune Antibody Titer,Laboratory,01 Clinic+
CT SCAN-SPECT,CT Scan - Spect,Imaging,03 Hospital Only
GBS - GROUP B STREPTOCOCCUS TEST,Gbs - Group B Streptococcus Test,Laboratory,01 Clinic+
GLUCOSE (SERUM),Glucose (Serum,Laboratory,01 Clinic+
STRESS TEST / TREADMILL EXERCISE TEST,Treadmill Exercise Test,Cardiology,02 PCC+
ULTRASOUND-PERIANAL AREA,Ultrasound - Perianal Area,Imaging,02 PCC+
SALMONELLA (QUALITATIVE),Salmonella (Qualitative,Uncategorized,02 PCC+
ROUTINE EEG (21 CHANNEL),Eeg (21 Channel,Uncategorized,02 PCC+
PRE AND POST PULMONARY FUNCTION TEST,Pre And Post Pulmonary Function Test,Laboratory,01 Clinic+
OCULAR COHERENCE TOMOGRAPHY-MACULA (BOTH EYES),Ocular Coherence Tomography-Macula (Both Eyes,Ophthalmology,02 PCC+
CA 153,Ca 153,Uncategorized,02 PCC+
HBSAG,HBsAg,Laboratory,01 Clinic+
PFT (SIMPLE) - STAT,Pft (Simple,Uncategorized,02 PCC+
ELECTROCARDIOGRAM (EEG) RECORDING UP TO 30 MINS,Electrocardiogram (ECG),Cardiology,02 PCC+
HBSAG SCREENING (QUALITATIVE),HBsAg,Laboratory,01 Clinic+
ULTRASOUND - 3D BREAST,Ultrasound - 3D Breast,Imaging,02 PCC+
HOLTER ECG (1ST 24HRS),Electrocardiogram (ECG),Cardiology,02 PCC+
ULTRASOUND KIDNEYS URINARY BLADDER KUBUZGN,Ultrasound - Kidneys Urinary Bladder Kubuzgn,Imaging,02 PCC+
HISTOPATH-LARGE,Histopath-Large,Uncategorized,02 PCC+
IMMUNOGLOBULIN A,Immunoglobulin A,Uncategorized,02 PCC+
HBSAG QUANTITATIVE,HBsAg,Laboratory,01 Clinic+
"ULTRASOUND - ABDOMEN, WHOLE-UZGN","Ultrasound - Abdomen, Whole-Uzgn",Imaging,02 PCC+
RENAL SCINTIGRAPHY DTPA - PROCEDURE + PF,Renal Scintigraphy Dtpa - Procedure + Pf,Uncategorized,02 PCC+
ULTRASOUND- BREAST,Ultrasound - Breast,Imaging,02 PCC+
X-RAY KNEE JOINT APL BILATERAL,X-Ray - Knee Joint Apl Bilateral,Imaging,02 PCC+
BIOMETRY PER EYE (PENTACAM),Biometry Per Eye (Pentacam,Ophthalmology,02 PCC+
XRAY-CHEST PA (PORTABLE),X-Ray - Chest Pa (Portable),Imaging,02 PCC+
STEREO ACUITY TEST,Stereo Acuity Test,Laboratory,01 Clinic+
HISTOPATH-H PYLORI,Histopath-H Pylori,Uncategorized,02 PCC+
SPUTUM AFB (ACID- FAST BACILLI) 2X,Sputum Afb (Acid- Fast Bacilli) 2X,Laboratory,01 Clinic+
RANDOM URINE SODIUM,Sodium (Na),Laboratory,01 Clinic+
ULTRASOUND-PELVIC 2D SINGLE,Ultrasound - Pelvic 2D Single,Imaging,02 PCC+
FREE PROSTATE-SPECIFIC ANTIGEN (PSA) RIA,Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
"XRAY- VERTEBRAE, THORACIC SPINE (AP/PA, L, O)~XRPN","X-Ray - Vertebrae, Thoracic Spine (Ap/Pa, L, O)~Xrpn",Imaging,02 PCC+
GGTP SERUM (GAMMA GLUTAMYLTRANSPEPTIDASE),Ggtp Serum (Gamma Glutamyltranspeptidase,Laboratory,01 Clinic+
KUB ULTRASOUND WITH PROSTATE,Ultrasound,Imaging,02 PCC+
PHYSICAL THERAPY WITH PARAFFIN WAX BATH,Physical Therapy Paraffin Wax Bath,Physical Therapy,02 PCC+
ULTRASOUND - WHOLE ABDOMEN WITH PELVIC AND APPENDIX,Ultrasound - Whole Abdomen,Imaging,02 PCC+
"MRI- ABDOMEN, WHOLE~MRCT-FILM [14X17 (8)]","MRI - Abdomen, Whole~Mrct-Film [14X17 (8)]",Imaging,03 Hospital Only
USE OF VIDEOSCOPE,Use Of Videoscope,Uncategorized,02 PCC+
ULTRASOUND-HEPATOBILLIARY TREE,Ultrasound - Hepatobilliary Tree,Imaging,02 PCC+
URINE PROTEIN CREATININE RATIO (SEND OUT),Creatinine,Laboratory,01 Clinic+
SERUM IMMUNOGLOBULIN A (IGA),Serum Immunoglobulin A (Iga,Laboratory,01 Clinic+
FETAL HEART RATE MONITORING/NON STRESS TEST,Fetal Heart Rate Monitoring/Non Stress Test,Laboratory,01 Clinic+
PROSTATE SPECIFIC ANTIGEN (MNMCH),Prostate Specific Antigen (PSA),Laboratory,01 Clinic+
XRAY-CHEST PA 14X14 (ADULT),X-Ray - Chest Pa 14X14 (Adult),Imaging,02 PCC+
XRAY-CHEST PA & LATERAL AND APICOLORDOTIC,X-Ray - Chest Pa & Lateral And Apicolordotic,Imaging,02 PCC+
BLOOD TYPING GEL METHOD,Blood Typing Gel Method,Laboratory,01 Clinic+
GLUCOSE (FBS),Fasting Blood Sugar (FBS),Laboratory,01 Clinic+
XRAY-C-ARM EXTREMITIES,X-Ray - C-Arm Extremities,Imaging,02 PCC+
SPUTUM AFB EXAM,Sputum Afb Exam,Uncategorized,02 PCC+
XRAY-ARM APL/PAL,X-Ray - Arm Apl/Pal,Imaging,02 PCC+
CALRETENIN,Calretenin,Uncategorized,02 PCC+
XRAY - THIGH (FEMUR) APL - PORTABLE,X-Ray - Thigh (Femur) Apl - Portable,Imaging,02 PCC+
H. PYLORI IGG (QUANTI),H. Pylori Igg (Quanti,Laboratory,01 Clinic+
XRAY - SHOULDER ROUTINE,X-Ray - Shoulder Routine,Imaging,02 PCC+
OCT GLAUCOMA OS,Oct Glaucoma Os,Uncategorized,02 PCC+
XRAY CHEST APL,X-Ray - Chest Apl,Imaging,02 PCC+
SPECIAL TEST IN-HOUSE_RUBELLA IGM (CMIA),Special Test In-House_Rubella Igm (Cmia,Laboratory,01 Clinic+
ULTRASOUND-ARTERIAL AND VENOUS UNILATERAL,Ultrasound - Arterial And Venous Unilateral,Imaging,02 PCC+
XRAY-ABDOMEN APL,X-Ray - Abdomen Apl,Imaging,02 PCC+
"BLOOD SUGAR (FBS, PPBS, HGT, RBS)",Fasting Blood Sugar (FBS),Laboratory,01 Clinic+
PROLACTIN (IMMUNOFLUORESCENCE),Prolactin,Uncategorized,02 PCC+
CULTURE & SENSITIVITY - WOUND & OTHER SOURCES,Culture & Sensitivity - Wound & Other Sources,Laboratory,01 Clinic+
UNILATERAL VENOUS COMPRESSION + LYMPHEDEMA ASSESMENT,Unilateral Venous Compression + Lymphedema Assesment,Uncategorized,02 PCC+
CULTURE AND SENSITIVITY (OTHERS),Culture And Sensitivity (Others,Laboratory,01 Clinic+
CULTURE AND SENSITIVITY - THROAT,Culture And Sensitivity - Throat,Laboratory,01 Clinic+
RANDOM URINE CREATININE,Creatinine,Laboratory,01 Clinic+
CULTURE & SENSITIVITY ( URINE),Culture & Sensitivity ( Urine,Laboratory,01 Clinic+
FENO (FRACTIONAL EXHALED NITRIC OXIDE) BREATH TEST,Feno (Fractional Exhaled Nitric Oxide) Breath Test,Laboratory,01 Clinic+
THYROGLOBULIN (CMIA),Thyroglobulin (Cmia,Uncategorized,02 PCC+
TSH ANTIBODY (RIA),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
"XRAY - KIDNEY, URETHER, BLADDER (KUB)/RENAL + PROSTATE ULTRASOUND",Ultrasound,Imaging,02 PCC+
HISTOPATH 2 SMALL SPECIMENS,Histopath 2 Small Specimens,Uncategorized,02 PCC+
24 HOUR URINE CREATININE CLEARANCE (CLINICAL),Creatinine,Laboratory,01 Clinic+
ULTRASOUND-MUSCULO SKELETAL SHOULDER UNILATERAL,Ultrasound - Musculo Skeletal Shoulder Unilateral,Imaging,02 PCC+
CULTURE & SENSITIVITY-BODY FLUID W/ ARD (ANAEROBIC,Culture & Sensitivity-Body Fluid Ard (Anaerobic,Laboratory,01 Clinic+
PPBS 2 HRS AFTER STANDARD GLUCOSE DRINK,Ppbs 2 Hrs After Standard Glucose Drink,Laboratory,01 Clinic+
"DIRECT INDIRECT BILIRUBIN (B1,B2)",Bilirubin,Uncategorized,02 PCC+
INFLUENZA A AND B SCREENING (POCT),Influenza A And B Screening,Laboratory,01 Clinic+
ULTRASOUND PORTABLE WHOLE ABDOMEN W/ PROSTATE,Ultrasound - Portable Whole Abdomen,Imaging,02 PCC+
APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),Partial Thromboplastin Time (PTT),Laboratory,01 Clinic+
TRIGLYCERIDES (ARCHITECT),Triglycerides (Architect,Uncategorized,02 PCC+
OCT-PERIMETRY (BOTH EYES),Oct-Perimetry (Both Eyes,Ophthalmology,02 PCC+
ULTRASOUND-BREAST & DIGITAL MAMMOGRAPHY PACKAGE,Ultrasound - Breast & Digital Mammography Package,Imaging,02 PCC+
"XRAY-ANKLE MORTISE (AP/PA, L/O)~XRPN-FILM [8X10 (2)]","X-Ray - Ankle Mortise (Ap/Pa, L/O)~Xrpn-Film [8X10 (2)]",Imaging,02 PCC+
CD 56,Cd 56,Uncategorized,02 PCC+
DIGITAL LEFT HUMERUS APLAT,Digital Left Humerus Aplat,Uncategorized,02 PCC+
STRESS TEST - TREADMILL EXERCISE TEST (BRUCE),Treadmill Exercise Test,Cardiology,02 PCC+
ULTRASOUND-SOFT TISSUE ON THE BACK,Ultrasound - Soft Tissue On The Back,Imaging,02 PCC+
HBA1C (GLYCOSYLATED HEMOGLOBIN STAT,HbA1c,Laboratory,01 Clinic+
"FT3, FT4, TSH",Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-C-ARM/FLOUROSCOPY,X-Ray - C-Arm/Flouroscopy,Imaging,02 PCC+
ANTI HIV,Anti Hiv,Uncategorized,02 PCC+
"XRAY-CHEST (AP/PA, L, O)~XRPN","X-Ray - Chest (Ap/Pa, L, O)~Xrpn",Imaging,02 PCC+
H. PYLORI ANTIGEN (QUALI),H. Pylori Antigen (Quali,Laboratory,01 Clinic+
RANDOM URINE CALCIUM,Calcium (Ca),Laboratory,01 Clinic+
TROPONIN T (QUALITATIVE),Troponin,Uncategorized,02 PCC+
XRAY HIP BILATERAL AP LAT,X-Ray - Hip Bilateral Ap Lat,Imaging,02 PCC+
XRAY-CERVICAL SPINE OBLIQUE,X-Ray - Cervical Spine Oblique,Imaging,02 PCC+
XRAY-SKYLINE/SUNRISE/MERCHANT,X-Ray - Skyline/Sunrise/Merchant,Imaging,02 PCC+
XRAY RIGHT KNEE APL,X-Ray - Right Knee Apl,Imaging,02 PCC+
STEREO TESTING,Stereo Testing,Laboratory,01 Clinic+
XRAY-ABDOMEN - PLAIN (2 VIEWS),X-Ray - Abdomen - Plain (2 Views),Imaging,02 PCC+
ACCENTURE-XRAY-SKULL-FACIAL BONE,X-Ray - Skull-Facial Bone,Imaging,02 PCC+
XRAY-LUMBO SACRAL OBL 11X14,X-Ray - Lumbo Sacral Obl 11X14,Imaging,02 PCC+
BONE MARROW BIOPSY,Bone Marrow Biopsy,Uncategorized,03 Hospital Only
HISTOPATH III,Histopath Iii,Uncategorized,02 PCC+
IMMUNOGLOBULIN E,Immunoglobulin E,Uncategorized,02 PCC+
MTB-PCR SPUTUM,Mtb-Pcr Sputum,Laboratory,01 Clinic+
REMOVAL OF FOREIGN BODY (EAR) COMPLEX,Removal Of Foreign Body (Ear) Complex,Uncategorized,02 PCC+
ROUTINE BIOPSY SMALL,Biopsy Small,Uncategorized,03 Hospital Only
ULTRASOUND-OB US - CONGENITAL ANOMALY SCANNING ( CAS ) WITH CERVICAL LENGTH - SINGLETON,Ultrasound - Ob Us - Congenital Anomaly Scanning ( Cas ),Imaging,02 PCC+
"XRAY- KNEE, AXIAL, RIGHT","X-Ray - Knee, Axial, Right",Imaging,02 PCC+
XRAY-BONE DENSINOMETRY-LUMBO SPINE + HIP,X-Ray - Bone Densinometry-Lumbo Spine + Hip,Imaging,02 PCC+
XRAY-CHEST PAL PEDIA (DIGITAL),X-Ray - Chest Pal Pedia (Digital),Imaging,02 PCC+
RANDOM URINE PROTEIN- CREA RATIO.,Random Urine Protein- Crea Ratio.,Laboratory,01 Clinic+
LAB-HMT-PT,Lab-Hmt-Pt,Uncategorized,02 PCC+
(ANTI-HBE) HEPATITIS B ENVELOPE ANTIBODY (EIA),Anti-Hbe) Hepatitis B Envelope Antibody (Eia,Laboratory,01 Clinic+
(HBEAG) HEPATITIS B ENV. ANTIGEN (EIA),Hbeag) Hepatitis B Env. Antigen (Eia,Laboratory,01 Clinic+
SOM AUTOIMMUNE ANTI TPO (ANTIBODIES PEROXIDASE),Som Autoimmune Anti Tpo (Antibodies Peroxidase,Uncategorized,02 PCC+
XRAY - CHEST UPRIGHT.,X-Ray - Chest Upright.,Imaging,02 PCC+
XRAY-BILATERAL KNEE APL,X-Ray - Bilateral Knee Apl,Imaging,02 PCC+
ERYTHROCYTES SEDIMENTATION RATE (ESR),Erythrocytes Sedimentation Rate (Esr,Uncategorized,02 PCC+
KOH SMEAR FOR FUNGUS(X2),Koh Smear For Fungus(X2,Uncategorized,02 PCC+
T3T4,T3T4,Uncategorized,02 PCC+
TROPONIN I (TROP I),Troponin,Uncategorized,02 PCC+
"ULTRASOUND- KUB, PELVIS","Ultrasound - Kub, Pelvis",Imaging,02 PCC+
XRAY-ARM/FOREARM APL,X-Ray - Arm/Forearm Apl,Imaging,02 PCC+
ULTRASOUND-TOTAL ABDOMEN,Ultrasound - Total Abdomen,Imaging,02 PCC+
H. PYLORI - SERUM (SEND OUT),H. Pylori - Serum,Laboratory,01 Clinic+
HBEAG (CMIA),Hbeag (Cmia,Laboratory,01 Clinic+
"CT SCAN - BMD (CENTRAL, PERIPHERAL & WHOLE BODY PACKAGE)","CT Scan - Bmd (Central, Peripheral & Whole Body Package)",Imaging,03 Hospital Only
SERUM MAGNESIUM,Magnesium (Mg),Laboratory,01 Clinic+
OCT OPTIC (SINGLE EYE),Oct Optic (Single Eye,Ophthalmology,02 PCC+
XRAY- LUMBOSACRAL AP,X-Ray - Lumbosacral Ap,Imaging,02 PCC+
ULTRASOUND-KUB & PROSTATE (PRE-VOID & POST-VOID)_PORTABLE,Ultrasound - Kub & Prostate (Pre-Void & Post-Void)_Portable,Imaging,02 PCC+
THYROID PANEL B,Thyroid Panel,Laboratory,01 Clinic+
XRAY-HUMERUS APL 11X14 BILATERAL,X-Ray - Humerus Apl 11X14 Bilateral,Imaging,02 PCC+
ROUTINE ELECTROENCEPHALOGRAM (EEG) 30 MINUTES,Electroencephalogram (Eeg) 30 Minutes,Uncategorized,02 PCC+
HBA1C (SEND-OUT CAINTA /MARIKINA),HbA1c,Laboratory,01 Clinic+
HBSAG (SCREENING/QUANTITATIVE) HEPA B,HBsAg,Laboratory,01 Clinic+
URINE HCG,Urine Hcg,Laboratory,01 Clinic+
POST BUN (POST-BLOOD UREA NITROGEN),Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
"RANDOM URINE ELECTROLYTES (NA, K, CL)","Random Urine Electrolytes (Na, K, Cl",Laboratory,01 Clinic+
ROUTINE URINE C/S,Urine C/S,Laboratory,01 Clinic+
ULTRASOUND- BOTH EYES,Ultrasound - Both Eyes,Imaging,02 PCC+
"PHI IHC, P63 PROTEIN","Phi Ihc, P63 Protein",Laboratory,01 Clinic+
"DIABETIC PANEL B (BUN, CBC, CREA, FBS, HBA1C, LP, MICRAL TEST, SGPT, URIC ACID, UA)",HbA1c,Laboratory,01 Clinic+
"BUN, CREA, NA, K",Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
SPIROMETRY WITH POST BRONCHODILATOR EXAM,Spirometry Post Bronchodilator Exam,Uncategorized,02 PCC+
ULTRASOUND - 3 ORGAN + PELVIS,Ultrasound - 3 Organ + Pelvis,Imaging,02 PCC+
ULTRASOUND-TRANSRECTAL UTERUS,Ultrasound - Transrectal Uterus,Imaging,02 PCC+
HISTOPATH 2 TO 3 MEDIUM SPECIMENS,Histopath 2 To 3 Medium Specimens,Uncategorized,02 PCC+
CONIZATION OF CERVIX,Conization Of Cervix,Uncategorized,02 PCC+
CULTURE AND SENSITIVITY - URINE W/ ARD,Culture And Sensitivity - Urine Ard,Laboratory,01 Clinic+
EMG-NCV CERVICAL RADICULOPATHY,Emg-Ncv Cervical Radiculopathy,Uncategorized,02 PCC+
EMG-NCV LUMBAR RADICULOPATHY,Emg-Ncv Lumbar Radiculopathy,Uncategorized,02 PCC+
EMG-NCV OF BOTH UPPER EXTREMITIES,Emg-Ncv Of Both Upper Extremities,Uncategorized,02 PCC+
XRAY-LUMBO SACRAL AP-O,X-Ray - Lumbo Sacral Ap-O,Imaging,02 PCC+
XRAY-HAND PA/LAT/OBLIQUE (BILATERAL),X-Ray - Hand Pa/Lat/Oblique (Bilateral),Imaging,02 PCC+
ULTRASOUND-TRANSVAGINAL (GYNE) PORTABLE,Ultrasound - Transvaginal (Gyne) Portable,Imaging,02 PCC+
XRAY-HAND AP 11X14,X-Ray - Hand Ap 11X14,Imaging,02 PCC+
ABDOMINAL AORTA W/ COLOR FLOW,Abdominal Aorta Color Flow,Uncategorized,02 PCC+
ELECTROLYTE DETERMINATION (NA K CL),Electrolyte Determination (Na K Cl,Uncategorized,02 PCC+
PHYSICAL THERAPY USE OF SHOULDER WHEEL,Physical Therapy Use Of Shoulder Wheel,Physical Therapy,02 PCC+
TOTAL IGE W/ DIL. (ECLIA),Total Ige Dil. (Eclia,Uncategorized,02 PCC+
ULTRASOUND - THYROID GLAND,Ultrasound - Thyroid Gland,Imaging,02 PCC+
ULTRASOUND-PAROTID WITH COLOR FLOW,Ultrasound - Parotid,Imaging,02 PCC+
URINE SUGAR (GLUCOSE),Urine Sugar (Glucose,Laboratory,01 Clinic+
XRAY-ANKLE APL(BILATERAL) 11X14,X-Ray - Ankle Apl(Bilateral) 11X14,Imaging,02 PCC+
XRAY-ANKLE MORTISE AP LAT OBLIQUE (BILATERAL),X-Ray - Ankle Mortise Ap Lat Oblique (Bilateral),Imaging,02 PCC+
XRAY-DIGITAL LEFT HAND APL/OBL,X-Ray - Digital Left Hand Apl/Obl,Imaging,02 PCC+
XRAY-HIP JOINT BILATERAL,X-Ray - Hip Joint Bilateral,Imaging,02 PCC+
(ANTI-HBC) HEPATITIS B CORE ANTIBODY (EIA),Anti-Hbc) Hepatitis B Core Antibody (Eia,Laboratory,01 Clinic+
C-REACTIVE PROTEIN (CRP) S/O MMMC,C-Reactive Protein (Crp) S/O Mmmc,Laboratory,01 Clinic+
ESR (WESTERGREN),Esr (Westergren,Uncategorized,02 PCC+
URINE ELECTROLYTES WITH IONIZED CALCIUM,Calcium (Ca),Laboratory,01 Clinic+
MRI HEAD-IAC/SELLA/PITUITARY~MRCT-FILM [14X17 (7)],MRI - Head-Iac/Sella/Pituitary~Mrct-Film [14X17 (7)],Imaging,03 Hospital Only
XRAY - CERVICAL SPINE APL (OPEN MOUTH),X-Ray - Cervical Spine Apl (Open Mouth),Imaging,02 PCC+
CA 15-3 (BREAST),Ca 15-3 (Breast,Laboratory,01 Clinic+
XRAY-HAND (BALL CATCHER'S/NORGAARD'S VIEW),X-Ray - Hand (Ball Catcher'S/Norgaard'S View),Imaging,02 PCC+
CALCIUM SERUM,Calcium (Ca),Laboratory,01 Clinic+
SGPT/ALT,SGPT/ALT,Laboratory,01 Clinic+
NUCLEIC ACID TESTING,Nucleic Acid Testing,Laboratory,01 Clinic+
ULTRASOUND-TRANSVAGINAL (TVS) (PERFORMED BY GYNE ONCO),Ultrasound - Transvaginal (Tvs) (Performed By Gyne Onco),Imaging,02 PCC+
"C-REACTIVE PROTEIN, QUANTITATIVE (NYCOCARD)","C-Reactive Protein, Quantitative (Nycocard",Laboratory,01 Clinic+
SILICA CLOTTING TIME ST,Silica Clotting Time St,Uncategorized,02 PCC+
PLAY AUDIOMETRY,Play Audiometry,Uncategorized,02 PCC+
AST (SGPT),SGPT/ALT,Laboratory,01 Clinic+
GLUCOSE TOLERANCE 2 SAMPLES 75 GRAMS (OGTT),Glucose Tolerance 2 Samples 75 Grams (Ogtt,Laboratory,01 Clinic+
CULTURE AND SENSITIVITY-BODY FLUID WITH ARD,Culture And Sensitivity-Body Fluid Ard,Laboratory,01 Clinic+
X RAY SHOULDER AP/Y,X Ray Shoulder Ap/Y,Uncategorized,02 PCC+
XRAY-SHOULDER APY (PORTABLE),X-Ray - Shoulder Apy (Portable),Imaging,02 PCC+
ANTI HAV (HEPATITIS A VIRUS)-IGM (EIA),Anti Hav (Hepatitis A Virus)-Igm (Eia,Laboratory,01 Clinic+
CT SCAN - 3D RECONSTRUCTION,CT Scan - 3D Reconstruction,Imaging,03 Hospital Only
