cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
ANTINUCLEAR ANTIBODIES (ANA) IMMUNOFLUORESCENCE SCREENING,Antinuclear Antibodies (Ana) Immunofluorescence Screening,Uncategorized,02 PCC+
CT SCAN-TEMPORAL BONE PLAIN,CT Scan - Temporal Bone Plain,Imaging,03 Hospital Only
XRAY-CHEST APL (PEDIA),X-Ray - Chest Apl (Pedia),Imaging,02 PCC+
"PHYSICAL THERAPY USE OF FREE WEIGHTS (ANKLE AND CUFF WEIGHTS, DUMBLES, ETC.)","Physical Therapy Use Of Free Weights (Ankle And Cuff Weights, Dumbles, Etc.",Physical Therapy,02 PCC+
SPLIT NIGHT STUDY,Split Night Study,Uncategorized,02 PCC+
PHOSPHORUS,Phosphorus,Uncategorized,02 PCC+
CT SCAN - CHEST(HIGH RESOLUTION),CT Scan - Chest(High Resolution),Imaging,03 Hospital Only
MICRAL TEST,Micral Test,Laboratory,01 Clinic+
CORONARY ANGIOGRAM,Coronary Angiogram,Uncategorized,02 PCC+
ULTRASOUND-TRANSVAGINAL (TVS) WITH DOPPLER,Ultrasound - Transvaginal (Tvs),Imaging,02 PCC+
PROCALCITONIN,Procalcitonin,Uncategorized,02 PCC+
ULTRASOUND-PELVIC (GYNE),Ultrasound - Pelvic (Gyne),Imaging,02 PCC+
SLEEP TEST (DIAGNOSTIC),Sleep Test (Diagnostic,Laboratory,01 Clinic+
PHYSICAL THERAPY USE OF POSTURAL MIRROR,Physical Therapy Use Of Postural Mirror,Physical Therapy,02 PCC+
MRI BRAIN WITH CONTRAST,MRI - Brain,Imaging,03 Hospital Only
HERPES SIMPLEX VIRUS (HSV) - 1 & 2 IGM,Herpes Simplex Virus (Hsv) - 1 & 2 Igm,Laboratory,01 Clinic+
BETA HCG,Beta Hcg,Uncategorized,02 PCC+
(ANTI-HBS OR HBSAB) HEPATITIS B SURFACE ANTIBODY,Anti-HBs,Laboratory,01 Clinic+
RANDOM MICROALBUMIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
MRI - KNEE PLAIN,MRI - Knee Plain,Imaging,03 Hospital Only
CORONARY ANGIOGRAM PACKAGE,Coronary Angiogram Package,Laboratory,01 Clinic+
XRAY-CHEST PA/AP,X-Ray - Chest Pa/Ap,Imaging,02 PCC+
HBA1C,HbA1c,Laboratory,01 Clinic+
(ALB) ALBUMIN,Alb) Albumin,Uncategorized,02 PCC+
DENGUE IGM BLOT,Dengue Test,Laboratory,01 Clinic+
ULTRASOUND-NECK WITH COLOR FLOW,Ultrasound - Neck,Imaging,02 PCC+
EXTRACORPOREAL SHOCKWAVE LITHOTRIPSY (ESWL) BILATERAL (PF INCLUDED/NET OF PHIC),Extracorporeal Shockwave Lithotripsy (Eswl) Bilateral (Pf Included/Net Of Phic,Urology,03 Hospital Only
CANCER ANTIGEN 19-9 (CA 19-9),Cancer Antigen 19-9 (Ca 19-9,Laboratory,01 Clinic+
XRAY-HAND AP-O 11X14,X-Ray - Hand Ap-O 11X14,Imaging,02 PCC+
TROPONIN I (QUALITATIVE),Troponin,Uncategorized,02 PCC+
MRI - LUMBOSACRAL,MRI - Lumbosacral,Imaging,03 Hospital Only
H-PYLORI STOOL ANTIGEN,H-Pylori Stool Antigen,Laboratory,01 Clinic+
TROPONIN I HIGH SENSITIVITY,Troponin,Uncategorized,02 PCC+
(GGT) GAMMA-GLUTAMYL TRANSPEPTIDASE,Ggt) Gamma-Glutamyl Transpeptidase,Uncategorized,02 PCC+
XRAY-SHOULDER AP 11X14,X-Ray - Shoulder Ap 11X14,Imaging,02 PCC+
THULIUM LASER INCISION OF THE PROSTATE (TULIP) - GROSS OF PHIC/PF INCLUDED,Thulium Laser Incision Of The Proe (Tulip) - Gross Of Phic/Pf Included,Uncategorized,02 PCC+
CT SCAN-CRANIAL PLAIN,CT Scan - Cranial Plain,Imaging,03 Hospital Only
"CHEM 12 (FBS, LIPID PROFILE, CREATININE, BUA, BUN, SGPT, SGOT, SODIUM, CHLORIDE, IONIZED CALCIUM, TOTAL CALCIUM, POTASSIUM)",Lipid Profile,Laboratory,01 Clinic+
LEFT HEART CATHETERIZATION (B),Left Heart Catheterization (B,Uncategorized,02 PCC+
MRI-FOOT,MRI - Foot,Imaging,03 Hospital Only
EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL) WITH PHILHEALTH AND PF,Extracorporeal Shock Wave Lithotripsy (Eswl) Philhealth And Pf,Urology,03 Hospital Only
(CEA) CARCINOEMBRYONIC ANTIGEN,Cea) Carcinoembryonic Antigen,Laboratory,01 Clinic+
URINE ALBUMIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
ULTRASOUND-ARTERIAL/VENOUS LOWER EXTREMITY (BILATERAL),Ultrasound - Arterial/Venous Lower Extremity (Bilateral),Imaging,02 PCC+
XRAY THORACO LUMBAR APL,X-Ray - Thoraco Lumbar Apl,Imaging,02 PCC+
XRAY-ANKLE APL 11X14,X-Ray - Ankle Apl 11X14,Imaging,02 PCC+
(FSH) FOLLICLE STIMULATING HORMONE,Fsh) Follicle Stimulating Hormone,Uncategorized,02 PCC+
ULTRASOUND-THYROID WITH COLOR FLOW DOPPLER,Ultrasound - Thyroid,Imaging,02 PCC+
TOTAL DIRECT AND INDIRECT BILIRUBIN (TOTAL B1B2),Bilirubin,Uncategorized,02 PCC+
3D MAMMOGRAM,3D Mammogram,Imaging,02 PCC+
"PHYSICAL THERAPY USE OF THERATUBES, THERABANDS","Physical Therapy Use Of Theratubes, Therabands",Physical Therapy,02 PCC+
CT SCAN- WHOLE ABDOMEN W/ CONTRAST,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
MRI-LUMBAR SPINE PLAIN,MRI - Lumbar Spine Plain,Imaging,03 Hospital Only
AVASTIN INJECTION CAT 3 - ONE EYE (FACILITY FEE/NET OF PHIC/PF INCLUDED),Avastin Injection Cat 3 - One Eye (Facility Fee/Net Of Phic/Pf Included,Ophthalmology,02 PCC+
RUBELLA IGG,Rubella Igg,Laboratory,01 Clinic+
CHOLESTEROL,Cholesterol,Laboratory,01 Clinic+
MRI BRAIN,MRI - Brain,Imaging,03 Hospital Only
BONE DENSITY SCAN/BONE MINERAL DENSITY/BMD TEST/DEXA SCAN/DXA: DUAL-ENERGY XRAY ABSORPTIOMETRY SCAN,X-Ray - Absorptiometry Scan,Imaging,02 PCC+
(RPR) RAPID PLASMA REAGIN,Syphilis Test (VDRL/RPR),Laboratory,01 Clinic+
(AFP) ALPHA-FETOPROTEIN,Afp) Alpha-Fetoprotein,Laboratory,01 Clinic+
ULTRASOUND - LOWER ABDOMEN,Ultrasound - Lower Abdomen,Imaging,02 PCC+
MRI-CARDIAC W/ CONTRAST,MRI - Cardiac,Imaging,03 Hospital Only
BIOPSY/HISTOPATH - SMALL,Biopsy/Histopath - Small,Uncategorized,03 Hospital Only
XRAY-CHEST PA AND LORDOTIC 11X14,X-Ray - Chest Pa And Lordotic 11X14,Imaging,02 PCC+
FLOURESCEIN ANGIOGRAPHY,Flourescein Angiography,Uncategorized,02 PCC+
ESWL (2 SESSION PACKAGE),Eswl (2 Session Package,Physical Therapy,03 Hospital Only
ANTINUCLEAR ANTIBODY (ANA) (IF),Antinuclear Antibody (Ana) (If,Laboratory,01 Clinic+
GASTROSCOPY,Gastroscopy,Laboratory,01 Clinic+
COLONOSCOPY,Colonoscopy,Uncategorized,03 Hospital Only
"(RBS) RANDOM BLOOD GLUCOSE , NON FASTING SUGAR","Rbs) Random Blood Glucose , Non Fasting Sugar",Laboratory,01 Clinic+
DAILY RADIATION TREATMENT TOMO HELICAL IMRT,Daily Radiation Treatment Tomo Helical Imrt,Uncategorized,02 PCC+
BETA 1 C COMPLEMENT (C3),Beta 1 C Complement (C3,Uncategorized,02 PCC+
HDL AND LDL,Hdl And Ldl,Uncategorized,02 PCC+
COMBINED DIAGNOSTIC AND THERAPY-SLEEP STUDY,Combined Diagnostic And Therapy-Sleep Study,Laboratory,01 Clinic+
FECALYSIS,Fecalysis,Uncategorized,02 PCC+
FT3 RIA,Free T3 (FT3),Uncategorized,02 PCC+
